case_id,section,surface,role,environment,phase,release_ref,priority,gate,coverage_mode,scenario,preconditions_or_test_data,expected_result,definition_ref,evidence_ref,workflow_state,result,verified_at,executor,approver,notes_or_risk
MASTER-001,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,예외 큐에서 마스터 정리 이동,마스터 없음 예외 존재 / steps=1) 예외 큐에서 선택 2) 마스터 정리 이동,마스터 정리 탭에 체크된 항목이 넘어온다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,browser:local-playwright 2026-04-18 / MASTER_MISSING handoff ok / screenshots:/tmp/master-001-playwright-exception.png|/tmp/master-001-playwright-after-transfer.png,Verified,Pass,2026-04-18T15:22:48+09:00,Codex,,seeded temp item owned_item_id=1291 label_id=LP-001291 | legacy master bind card visible | transferred row shown in #masterOwnedBody
MASTER-002,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,마스터 검색 후 묶기,대상 항목 준비 / steps=1) 마스터 검색 2) 대상 선택 3) 묶기,선택 상품이 지정 마스터에 연결된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters/bind 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,마스터 검색 후 묶기 성공 | items=1272,1273 | master_id=1136
MASTER-003,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,마스터 정렬명 저장,마스터/보유 상품 화면 열림 / steps=1) 정렬 아티스트명 입력 2) 저장,404 없이 저장되고 같은 마스터 정렬에 반영된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters/{id}/sort-artist-name 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,마스터 정렬명 저장 성공 | album_master_id=1136 | sort_artist_name=버둥
MASTER-004,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,수동 마스터에서 소스 버전 fallback,현재 상품 source는 DISCOGS 또는 MANIADB이고 내부 마스터는 MANUAL / steps=1) 상품 상세에서 마스터 버전 조회/추가 조회,마스터 source가 MANUAL이어도 현재 상품 source 기준으로 버전 조회 컨텍스트를 만든다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/owned-items/{id}/related-versions 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,수동 마스터 source fallback 정상 | album_master_id=1137 | source=DISCOGS | master_external_id=9442473
MASTER-005,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,마스터 버전 조회가 현재 마스터 범위를 벗어나지 않음,수동 마스터에 외부 source 상품이 묶여 있음 / steps=1) 마스터 버전 조회 실행,Discogs 전체 목록이 아니라 현재 지정 마스터에 연결된 상품 범위만 표시된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/owned-items/{id}/related-versions 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,마스터 버전 조회가 현재 마스터 범위만 반환 | album_master_id=1137 | count=1 | members=1
MASTER-006,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,이미 삭제된 상품 삭제 버튼 재시도,같은 마스터 목록에 stale 카드가 남아 있음 / steps=1) 이미 삭제된 카드의 삭제 버튼 클릭,owned_item not found 에러로 멈추지 않고 목록을 새로고침한다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,이미 삭제된 상품으로 확인되어 목록을 새로고침했습니다. (owned_item_id=199)
MASTER-007,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,기존 마스터 연결 상품의 다른 소스 상품 추가,현재 상품이 이미 내부 마스터에 연결돼 있음 / steps=1) 다른 소스 상품 추가에서 후보 조회 2) 연계 상품으로 추가,먼저 마스터를 다시 선택하라는 오류 없이 현재 마스터에 편입된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"조회 완료: 3건 / 연계 상품 추가 완료: owned_item_id=202, label_id=LP-000202"
MASTER-008,Source Enrichment / Master Cleanup,미디어 > 등록/수집 > 마스터 정리,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,이미 삭제된 보유 상품 삭제 재시도 stale UI 처리,마스터/보유 상품 영역에 stale 카드가 남아 있는 상황 / steps=1) 이미 삭제된 상품 카드에서 삭제 클릭,owned_item not found로 멈추지 않고 목록을 새로고침한다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,이미 삭제된 상품으로 확인되어 목록을 새로고침했습니다. (owned_item_id=199)
META-001,Source Enrichment / Master Cleanup,아티스트 컨텍스트,관리자,qa,Pre-release,main@5409b8c,P1,Release,Hybrid,국내 아티스트의 Korean fallback과 외부 링크 컨텍스트 확인,백예린/조용필 등 국내 아티스트 검색 가능,한국어 아티스트명이 확보되고 위키/외부 메타 컨텍스트가 표시된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py,api:/ops/artist-context 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,국내 아티스트 fallback 확인 | artist=백예린/조용필 | links=Discogs/Wikipedia/MusicBrainz | country=KR
SORT-001,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 정렬 정책,관리자,qa,Pre-release,main@5409b8c,P1,Release,Manual-only,마스터 정렬명이 같은 마스터의 여러 미디어에 공통 적용,같은 album_master에 LP/CD 등 여러 미디어가 연결됨 / steps=1) 마스터 정렬명 저장 2) 서로 다른 미디어 슬롯 정렬 확인,같은 마스터의 모든 미디어 정렬에 동일한 정렬명이 적용된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters/{id}/members 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,정렬명 공통 적용 확인 | album_master_id=1136 | member_count=2 | sort_artist_name=버둥
SORT-002,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 정렬 정책,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,장식장 정렬 정책 LABEL_ID,정렬 정책이 LABEL_ID인 테스트 장식장 준비 / steps=1) 등록 코드가 역전되는 상품 2건 배치 2) 슬롯 조회,아티스트명과 무관하게 label_id 순으로 정렬된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,live:/storage-cabinets/register + /storage-slots/{id}/owned-items 2026-04-18 / LABEL_ID sort probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,order=[1284, 1285] | expected=[1284, 1285]
SORT-003,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 정렬 정책,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,장식장 정렬 정책 ARTIST_RELEASE_TITLE,정렬 정책이 ARTIST_RELEASE_TITLE인 테스트 장식장 준비 / steps=1) 아티스트/발매 순이 다른 상품 2건 배치 2) 슬롯 조회,정렬 아티스트명 -> 발매일 -> 앨범명 순으로 정렬된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,live:/storage-cabinets/register + /storage-slots/{id}/owned-items 2026-04-18 / ARTIST_RELEASE_TITLE sort probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,order=[1287, 1286] | expected=[1287, 1286]
SORT-004,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 정렬 정책,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,마스터 정렬 아티스트명으로 비영어권 정렬 보정,국내/일본/중국 아티스트가 영문 대표명으로 연결된 상품 존재 / steps=1) 마스터 정렬 아티스트명 저장 2) 장식장 칸 정렬 확인,같은 내부 마스터의 여러 미디어가 정렬 아티스트명 기준으로 공통 정렬된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,slot425 산울림 순서 ok / 정렬 아티스트명 저장 완료: 산울림
SOURCE-001,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 소스 보강,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,미연결 상품 후보 조회,미연결 상품 존재 / steps=1) 대상 불러오기 2) 후보 조회,각 상품별 후보가 조회된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/owned-items + /ingest/search 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,미연결 상품 후보 조회 성공 | owned_item_id=1277 | found_missing=true | candidates=1
SOURCE-002,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 소스 보강,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,선택 후보 일괄 교체,후보 선택 완료 / steps=1) 여러 행 후보 선택 2) 일괄 교체,선택 항목 메타가 소스로 교체된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/owned-items/source-replace-bulk 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,선택 후보 일괄 교체 성공 | owned_item_id=1281 | source=MANIADB | external=album:121470
SOURCE-003,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 소스 보강,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,자동 교체 대기 실행,자동 매칭 대상 존재 / steps=1) 자동 교체 대기 실행,바코드 정확 일치 또는 후보 1건 대상이 자동 반영된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,후보 일괄 조회 완료: 1건 / 선택 1건 / 자동 교체 대기 실행 완료: 성공 1건
SOURCE-004,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 소스 보강,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,최근 보강 결과 큐 확인,보강 실행 이력 존재 / steps=1) 보강 후 결과 확인,성공/실패/보류 결과가 큐에 남는다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"성공
이소라 - 눈썹달 QA AUTO3
LP-000201 | 자동 교체 | 03. 17. 23:55 | DISCOGS#16067523
열기
삭제"
SOURCE-005,Source Enrichment / Master Cleanup,미디어 > 검색/관리 > 소스 보강,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,소스 보강 수정 검색 입력 반영,보강 대상 1건 이상 로드됨 / steps=1) 후보 조회로 원치 않는 결과 확인 2) 아티스트명/상품명 재입력 3) 수정 검색 실행,행 단위 수정 검색어가 조회 기준에 반영되고 후보 결과가 갱신된다,pytest:tests/test_artist_context_service.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,브라우저 확인 완료 | 수정 검색 산울림/제11집 표시
BUY-001,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,Amazon JP 주문 파일 미리보기,Amazon JP MHTML 샘플 파일 존재 / steps=1) 구매 내역 가져오기 진입 2) Amazon JP 주문 파일 업로드 3) 미리보기,상품 행이 파싱되고 통화가 JPY로 표시된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports/preview 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,AMAZON 파일 미리보기 성공 | file=YourOrders_Amazon_JP_2025.mhtml | count=2 | currencies=JPY
BUY-002,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,Amazon UK 주문 파일 미리보기,Amazon UK MHTML 샘플 파일 존재 / steps=1) 구매 내역 가져오기 진입 2) Amazon UK 주문 파일 업로드 3) 미리보기,상품 행이 파싱되고 통화가 GBP로 표시된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports/preview 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,AMAZON 파일 미리보기 성공 | file=YourOrders_Amazon_UK_2022.mhtml | count=8 | currencies=GBP
BUY-003,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,eBay 주문 파일 미리보기,eBay MHTML 샘플 파일 존재 / steps=1) 구매 내역 가져오기 진입 2) eBay 주문 파일 업로드 3) 미리보기,상품 행이 파싱되고 통화가 USD로 표시된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports/preview 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,EBAY 파일 미리보기 성공 | file=Purchases _ My eBay _ eBay_02.mhtml | count=6 | currencies=USD
BUY-004,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,구매 파일 미리보기 실패 사유 표시,잘못된 파일 또는 주문 정보 없는 본문 준비 / steps=1) 잘못된 파일 업로드 또는 무의미한 본문 입력 2) 미리보기,0건으로 끝나지 않고 파서가 찾지 못한 이유가 표시된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"잘못된 구매 본문 오류 사유 표시 | {""detail"":""eBay 구매 카드(m-item-card)를 찾지 못했습니다. 구매내역 목록 페이지 MHTML인지 확인하세요.""}"
BUY-005,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Manual-only,미리보기 결과 수입 큐 저장,미리보기 결과 존재 / steps=1) 미리보기 확인 2) 수입 큐 저장,큐에 PENDING 행이 생성된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,구매 수입 큐 저장 성공 | file=Purchases _ My eBay _ eBay_02.mhtml | created_count=5 | cleanup=queue rows removed
BUY-006,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,구매 수입 큐 후보 조회,구매 수입 큐 PENDING 행 존재 / steps=1) 큐 불러오기 2) 특정 행 후보 조회,후보 메타 치환 박스가 열리고 후보 목록이 표시된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports/{id}/candidates 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,구매 수입 큐 후보 조회 성공 | queue_id=819 | count=3 | query=A Hermitage [VINYL] Jambinai
BUY-007,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,수정 검색으로 후보 재조회,초기 후보가 없거나 부정확한 큐 행 존재 / steps=1) 행 확장 2) 아티스트/상품명 수정 검색 입력 3) 후보 조회,보정된 질의로 후보가 다시 조회된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,수정 검색 후보 재조회 성공 | 터치드 Red Signal | count=1
BUY-008,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,후보로 생성 시 구매 미디어 유지/미배치,구매 수입 큐 후보 선택 완료 / steps=1) 후보 선택 2) 후보로 생성 3) 생성 상품 상세 확인,구매 내역의 미디어가 유지되고 storage_slot_id는 비어 있다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/purchase-imports/{id}/create-owned-item-from-candidate 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,후보로 생성 시 구매 미디어 유지/미배치 성공 | queue_id=819 | owned_item_id=1282 | format=LP | storage_slot_id=null
BUY-009,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,구매 수입 큐 무시 처리,구매 수입 큐 PENDING 행 존재 / steps=1) 행에서 무시 처리,해당 행 상태가 IGNORED로 바뀌고 재등록 대상에서 빠진다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,구매 수입 큐 무시 처리 성공 | queue_id=1079
BUY-010,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,Amazon 상세 보강,Amazon 구매 큐 행에 item_url 존재 / steps=1) 상세 보강 또는 후보 조회 실행,아티스트/커버가 비어 있으면 Amazon 상세 페이지로 보강된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,Amazon 상세 보강 성공 | artist=Iron & Wine | image=yes
BUY-011,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,구매 수입 큐 표시 수와 전체 수 구분,구매 수입 큐 다수 존재 / steps=1) 큐 불러오기 2) 조회 수 제한 변경,상태줄에 표시 n건 / 전체 n건이 구분되어 보인다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,수입 큐 조회 완료: 표시 200건 / 전체 236건
BUY-012,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,후보 박스 확장 상태 유지,구매 수입 큐 행 확장 가능 / steps=1) 특정 행 후보 조회 2) 목록 재렌더 유발,확장 상태와 후보 카드가 유지된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,큐 재로드 후 확장 박스 유지
BUY-013,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,구매 수입 큐 후보 조회 후 확장 박스 유지 및 후보 표시,구매 수입 큐 1건 이상 존재 / steps=1) 후보 조회 클릭 2) 행 아래 확장 박스 확인,확장 상태가 유지되고 후보 카드 목록이 즉시 보인다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,브라우저 확인 완료 | queue_id=438 후보 1건 표시
BUY-014,Registration / Intake,미디어 > 등록/수집 > 구매 내역 가져오기,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,구매 파일 자동 판별과 날짜/구매처 자동 추출,Amazon/eBay/Sailmusic 샘플 파일 보유 / steps=1) 파일 업로드 2) 미리보기 실행,구매처와 날짜가 파일 내용에서 자동 판별되어 별도 입력 없이 미리보기가 뜬다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,미리보기 완료: 8건 / 구매처 Amazon / 수입 큐 저장 완료: 8건 / 미리보기 완료: 6건 / 구매처 eBay
REGISTER-001,Registration / Intake,미디어 > 등록/수집 > 직접 등록,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,간편 등록 필수값 검증,등록/수집 진입 / steps=1) 아티스트명 비우기 2) 저장 3) 상품명 비우기 4) 저장,아티스트명과 상품명 모두 필수로 검증된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,"browser:qa-library.muzlife.com 2026-04-18 / direct register required-field validation / screenshots:/tmp/register-artist-required.png,/tmp/register-item-required.png",Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,quickArtist empty -> 아티스트명은 필수입니다. | quickItemName empty -> 상품명은 필수입니다.
REGISTER-002,Registration / Intake,미디어 > 등록/수집 > 직접 등록,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,간편 등록 저장,필수값 입력 완료 / steps=1) 아티스트명 입력 2) 상품명 입력 3) 저장,보유 상품이 생성되고 검색/관리에서 조회 가능하다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,간편 등록 저장/삭제 성공 | owned_item_id=1271 | label_id=CD-001271
REGISTER-003,Registration / Intake,미디어 > 등록/수집 > API 메타 조회,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,바코드 조회 후 저장,유효 바코드 준비 / steps=1) 바코드 조회 2) 결과 선택 3) 보유 상품 저장,메타가 반영된 상품이 생성된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/ingest/barcode + /owned-items 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,바코드 메타 조회 후 저장 성공 | barcode=8808513000379 | source=DISCOGS | external=3541153
REGISTER-004,Registration / Intake,미디어 > 등록/수집 > API 메타 조회,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,무바코드 조회 후 저장,아티스트/앨범 정보 준비 / steps=1) 무바코드 조회 2) 후보 확인 3) 저장,후보 메타 기반 상품이 생성된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/ingest/search + /owned-items 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,무바코드 메타 조회 후 저장 성공 | source=DISCOGS | external=8786524 | title=제11집
REGISTER-005,Registration / Intake,미디어 > 등록/수집 > CSV 대량 등록,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,CSV 업로드 및 검수 큐 적재,샘플 CSV 준비 / steps=1) CSV 업로드 2) 검수 큐 불러오기,행이 AUTO_APPROVED 또는 NEEDS_REVIEW로 적재된다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,CSV 업로드 및 검수 큐 적재 성공 | batch_id=7 | rows=1 | statuses=AUTO_APPROVED
REGISTER-006,Registration / Intake,미디어 > 등록/수집,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,외부 메타 저장 시 미배치 유지,"관리자 로그인, 외부 메타 기반 등록 가능 / steps=1) 외부 메타 기반 상품 생성 2) 장식장/칸 미지정 3) 저장 4) 상세 확인",storage_slot_id가 비어 있고 자동 슬롯 추천이 적용되지 않는다,manual:docs/purchase_mail_import.md | manual:docs/management_tool_manual.md,api:/ingest/search + /owned-items 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:57:09+09:00,Codex,,외부 메타 저장 시 미배치 유지 | owned_item_id=1279 | storage_slot_id=null
CAM-001,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,ONVIF 장치 검색,카메라와 같은 네트워크 대역 연결 / steps=1) 운영/연계 카메라 진입 2) ONVIF 장치 검색,검색이 500 없이 끝나고 장치 목록 또는 0건 메시지가 표시된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/cabinet-cameras/discover 2026-04-18 / ONVIF discovery probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,count=1 | http://Music_01:5357/39dea9ab-a79b-49ba-8ec1-c877f839a746
CAM-002,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,ONVIF 잘못된 URL 검증,운영/연계 카메라 진입 / steps=1) 잘못된 ONVIF URL 입력 2) 연결 테스트/자동 채움,400 검증 메시지로 유효하지 않은 URL임을 알린다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/cabinet-cameras/test-onvif 2026-04-18 / invalid URL validation,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,"{""detail"": ""유효한 ONVIF 장치 URL이 아닙니다.""}"
CAM-003,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,ONVIF 연결 테스트 자동 채움,실장비 ONVIF URL/계정 준비 / steps=1) ONVIF URL 입력 2) ID/PW 입력 3) 연결 테스트/자동 채움,스냅샷 URL/스트림 URL/제조사/모델이 채워진다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/cabinet-cameras/test-onvif 2026-04-18 / existing camera credential fallback,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,Meari | Speed 4T
CAM-004,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,카메라 등록-수정-삭제,운영/연계 카메라 진입 / steps=1) 카메라 등록 2) 메모 또는 활성 상태 수정 3) 삭제,등록/수정/삭제가 모두 정상 동작한다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,카메라 등록/수정/삭제 성공 | camera_id=8
CAM-005,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,카메라 스냅샷 프록시,활성 카메라 1건 이상 존재 / steps=1) 스냅샷 열기 또는 snapshot API 호출,이미지/jpeg 스냅샷이 반환된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/cabinet-cameras/{camera_id}/snapshot 2026-04-18 / jpeg response probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,camera_id=1 | bytes=165044 | image/jpeg
CAM-006,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,대시보드 카메라 기본 접힘,장식장과 연결된 카메라 존재 / steps=1) 대시보드에서 장식장 선택,카메라 패널은 기본적으로 접혀 있고 필요할 때만 펼칠 수 있다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 카메라 패널 기본 접힘 | toggle=보기 | preview=display:none
CAM-007,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,대시보드 카메라 펼침/숨기기,장식장과 연결된 카메라 존재 / steps=1) 보기 클릭 2) 새로고침/영상 열기 확인 3) 숨기기 클릭,펼친 상태에서만 스냅샷과 관련 버튼이 보이고 다시 숨길 수 있다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 보기/숨기기 정상 | preview block -> none
CAM-008,Ops / Integrations,운영/연계 > 카메라,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,대시보드 카메라 카드 기본 숨김,장식장에 카메라 등록됨 / steps=1) 대시보드에서 장식장 선택 2) 카메라 카드 확인,스냅샷은 기본 숨김이고 보기 클릭 시에만 열린다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,"toggle=보기, preview=none"
OPS-001,Ops / Integrations,운영/연계 > 예외 큐,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,예외 유형별 조회,예외 데이터 존재 / steps=1) 예외 유형 전환,유형별 목록과 건수가 올바르게 표시된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/owned-items exception count probes 2026-04-18 / include_total headers,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,unslotted=86 | source_missing=1 | master_missing=0 | cover_missing=4 | preferred_size_mismatch=90 | track_missing=32
